June 2012,,,,,,,,
CTRY,CALLSIGN,NAME,Observations,N<30,N<60,N<120,N>360,Average (R-O) (mins)
DE  , A8IS6, HELLE RITSCHER,3,1,3,3,0,32.7
DE  , DPUA, HELVETIA,1,0,1,1,0,41
DE  , DDSE2, HERMANN WULFF,13,13,13,13,0,14
DE  , V2CL5, HERMES,32,2,16,29,2,154.8
DE  , DHER, HOECHST EXPRESS,18,14,17,18,0,21.3
DE  , DHEB, HONG KONG EXPRESS,15,13,14,14,1,111.8
DE  , DCCR2, HOUSTON EXPRESS,5,5,5,5,0,0.8
DE  , D5AG8, HR RECOGNITION,35,1,1,11,10,388.9
DE  , D5AG9, HR RESOLUTION,2,1,1,2,0,39.5
DE  , A8GK6, HS BEETHOVEN,14,7,11,12,0,49
DE  , DDDI2, HYUNDAI TIANJIN,84,25,48,59,3,104.7
DE  , A8GH5, IBN ASAKIR,155,26,147,152,1,41.4
DE  , A8RU5, ILSE WULFF,15,2,8,12,1,95.4
DE  , A8MM4, INDEPENDENT ACCORD,6,1,5,6,0,39
DE  , A8MJ4, INDEPENDENT CONCEPT,9,1,1,4,2,181.9
DE  , A8MB5, INDEPENDENT PURSUIT,17,14,14,14,1,64.8
DE  , A8CG2, INDEPENDENT VENTURE,8,2,4,7,0,62.2
DE  , A8XY2, INDEPENDENT VOYAGER,46,42,45,46,0,14
DE  , A8CH8, ISODORA,20,5,18,20,0,44.7
DE  , A8ID9, ITAJAI EXPRESS,23,22,23,23,0,13.5
DE  , DDZF2, ITAL CONTESSA,3,1,2,2,1,501
DE  , A8LN2, ITAL ORIENTE,25,13,21,24,0,45
DE  , A8FA5, JANUS,11,5,11,11,0,26.6
DE  , A8RV6, JPO DELPHINUS,26,4,15,26,0,68.2
DE  , A8RW2, JPO DORADO,1,0,1,1,0,42
DE  , A8VF7, JPO GEMINI,24,24,24,24,0,10.2
DE  , A8GU4, JPO LEO,26,22,25,25,0,20.5
DE  , A8KC6, JPO SCORPIOS,43,37,41,43,0,17.8
DE  , A8RW4, JPO TUCANA,14,4,11,14,0,51.2
DE  , A8RV7, JPO VELA,16,8,13,14,2,216.6
DE  , A8RV9, JPO VIRGO,7,6,7,7,0,14.7
DE  , A8RW3, JPO VOLANS,92,66,91,92,0,23.1
DE  , A8RW5, JPO VULPECULA,5,3,4,5,0,28.4
DE  , DDLK, JULIUS S,13,10,13,13,0,16.5
DE  , A8FA6, JUPITER,9,1,4,8,0,73.9
DE  , V2NA1, KATHARINA S,28,22,28,28,0,18.6
DE  , DEHZ, KIEL EXPRESS,104,85,99,100,1,26.5
DE  , DGSE, KOBE EXPRESS,27,27,27,27,0,7.1
DE  , A8KJ4, KOLLMAR,1,0,0,0,0,233
DE  , ELVZ7, KOTA MAJU,5,1,5,5,0,34.6
DE  , ELZY4, KOTA SEGAR,5,1,5,5,0,33.2
DE  , DFNB2, KUALA LUMPUR EXPRESS,50,0,46,50,0,57.3
DE  , DCPI2, KYOTO EXPRESS,19,19,19,19,0,10.4
DE  , DIJY2, LEBLON,26,21,26,26,0,17.1
DE  , DEHY, LEVERKUSEN EXPRESS,57,51,52,52,5,134.9
DE  , A8AY3, LILY OLDENDORFF,2,0,1,1,1,544.5
DE  , DDSD2, LIVERPOOL EXPRESS,48,46,48,48,0,12.7
DE  , ELZU3, LIWIA P,18,8,17,18,0,34.2
DE  , DPLE, LONDON EXPRESS,131,122,131,131,0,16.6
DE  , DCPZ2, LOS ANGELES EXPRESS,17,8,17,17,0,33.2
DE  , DDYY2, LT CORTESIA,9,6,6,9,0,41.2
DE  , A8GU5, MAERSK DABOU,5,4,5,5,0,26.4
DE  , A8EH5, MAERSK DALLAS,19,14,19,19,0,19.3
DE  , A8OU4, MAERSK DAMIETTA,10,8,8,9,0,35
DE  , A8IJ4, MAERSK DANBURY,57,41,55,57,0,23.8
DE  , A8GU6, MAERSK DANVILLE,7,6,7,7,0,19.7
DE  , DDBB2, MAERSK DELLYS,65,10,57,63,0,53.9
DE  , A8EH2, MAERSK DENVER,35,26,33,34,1,31.7
DE  , DDAC2, MAERSK DERINCE,36,26,35,35,0,29.2
DE  , A8PX5, MAERSK DHAHRAN,14,4,14,14,0,31.6
DE  , A8IY2, MAERSK DIEPPE,39,38,39,39,0,11.1
DE  , A8JE6, MAERSK DRURY,32,29,30,32,0,18.2
DE  , A8GU8, MAERSK DUNCAN,16,16,16,16,0,10.8
DE  , A8IX7, MAERSK DUNEDIN,15,11,14,15,0,27.5
DE  , A8PX4, MAERSK JEFFERSON,6,0,2,6,0,65.2
DE  , A8PW8, MAERSK KARLSKRONA,28,16,19,25,1,63.1
DE  , VREX7, MAERSK NIAMEY,3,3,3,3,0,11.7
DE  , VRFO7, MAERSK NIMES,23,13,16,19,0,52.2
DE  , VRFW5, MAERSK NITEROI,16,7,12,16,0,34.5
DE  , A8MZ9, MAERSK SEMARANG,39,36,39,39,0,13.7
DE  , DDJQ2, MAERSK SHEERNESS,19,2,17,19,0,53.9
DE  , DDSX2, MAERSK SURABAYA,43,38,42,42,1,47.7
DE  , A8SE3, MALLECO,11,3,10,11,0,49.6
DE  , V2OS3, MARE GALLICUM,21,6,15,20,1,62
DE  , DBBT, MARIA S. MERIAN,686,685,685,685,1,0
DE  , ELSP9, MASOVIA,3,0,2,3,0,73.3
DE  , A8CC9, MATILDE,64,60,63,64,0,11.4
DE  , A8JR5, MCC SHANGHAI,42,32,39,39,0,31.1
DE  , DBFX, MEERKATZE,8,0,0,0,0,343.5
DE  , DBPG, MELLUM,1,0,0,1,0,102
DE  , V2OH7, MENTOR,2,0,0,1,0,131.5
DE  , DEIR, MERKUR BAY,8,3,7,7,0,55.8
DE  , ELZA5, MERKUR CLOUD,41,36,41,41,0,17.3
DE  , DDPH, MERKUR SKY,33,31,31,32,1,37.2
DE  , DBBH, METEOR,656,573,606,630,4,29.1
DE  , DDJI, MICHAELA S,1,0,1,1,0,42
DE  , A8MG8, MIZAR,11,3,10,11,0,34.2
DE  , A8RL4, MOL CALEDON,56,56,56,56,0,12.2
DE  , A8IX8, MOL CULLINAN,40,33,40,40,0,21.1
DE  , V2MH, MOL DREAM,16,13,15,15,1,78.9
DE  , A8CH9, MOL SYMPHONY,2,0,0,0,2,518.5
DE  , DGOH2, MONTE ACONCAGUA,19,9,19,19,0,33.5
DE  , DFWV2, MONTE ALEGRE,16,16,16,16,0,14.9
DE  , DFTH2, MONTE AZUL,5,4,5,5,0,16.2
DE  , DHTK, MONTE CERVANTES,52,47,52,52,0,15
DE  , DAJC, MONTE OLIVIA,25,19,25,25,0,19.4
DE  , DNCQ, MONTE PASCOAL,7,7,7,7,0,12.1
DE  , DGHJ, MONTE ROSA,18,18,18,18,0,11.7
DE  , DCLH2, MONTE SARMIENTO,8,3,8,8,0,36.8
DE  , DFKP2, MONTE TAMARO,14,11,13,14,0,21.1
DE  , DPOG, MSC ADRIATIC,73,66,72,73,0,15.2
DE  , DPMT, MSC ANTARES,25,15,25,25,0,24.2
DE  , A8ZU9, MSC BARCELONA,53,37,52,53,0,24.5
DE  , A8YD3, MSC BARI,23,12,20,20,3,210.8
DE  , A8HS4, MSC BEIJING,38,33,38,38,0,18.9
DE  , DIUR2, MSC BENEDETTA,28,22,27,28,0,23
DE  , A8IM7, MSC BILBAO,6,2,2,6,0,59.5
DE  , A8LK7, MSC BREMEN,30,16,28,29,1,71.9
DE  , A8EY5, MSC BRINDISI,7,7,7,7,0,10.4
DE  , A8HS3, MSC BRUXELLES,28,20,25,28,0,24.9
DE  , A8HR5, MSC BUSAN,9,8,9,9,0,15.6
DE  , DDJG2, MSC CAROUGE,12,8,12,12,0,26.6
DE  , A8JC5, MSC CHARLESTON,74,66,72,74,0,18.7
DE  , A8HS2, MSC CHICAGO,27,26,27,27,0,15.6
DE  , D5BU7, MSC CRISTINA,167,107,152,167,0,28.6
DE  , A8IG3, MSC DAVOS,3,3,3,3,0,13.3
DE  , A8VG3, MSC ENGLAND,30,26,29,30,0,21.9
DE  , A8KO3, MSC FIRENZE,1,0,0,1,0,112
DE  , DHZR, MSC FLAMINIA,25,5,14,21,1,89
DE  , A8GJ5, MSC FLORIDA,17,5,10,13,0,71.6
DE  , A8VH6, MSC FUJI,5,3,5,5,0,28.4
DE  , DBUT, MSC GEMMA,17,9,16,17,0,29.9
DE  , A8UX5, MSC GENOVA,27,8,24,27,0,43
DE  , DARU, MSC ILONA,21,18,20,21,0,14
DE  , A8LL9, MSC LISBON,18,16,18,18,0,17.8
DE  , DIGY2, MSC LIVORNO,11,9,10,11,0,18.9
DE  , DPJW, MSC MIRA,37,24,34,35,0,34.2
DE  , D5BL4, MSC MONTEREY,8,8,8,8,0,13.8
DE  , A8CJ2, MSC PRAGUE,4,3,4,4,0,0
DE  , A8KX4, MSC ROMA,54,44,50,53,0,23.5
DE  , A8HO3, MSC SHANGHAI,9,7,9,9,0,16.2
DE  , DQVI, MSC TANZANIA,18,16,18,18,0,16.6
DE  , A8ZE4, MSC TARANTO,82,79,82,82,0,13.4
DE  , DCSY2, MSC TEXAS,20,16,18,20,0,24.5
DE  , A8JM6, MSC TOKYO,3,2,2,3,0,46.3
DE  , DQVK, MSC UGANDA,14,14,14,14,0,3.8
DE  , D5BE4, MSC VEGA,42,29,38,40,0,33
DE  , A8CI9, MSC VIENNA,16,7,12,16,0,50.5
DE  , A8ZV8, MSC VIGO,47,34,43,46,0,24.2
DE  , V7LZ9, NADIR,10,6,8,10,0,35.7
DE  , DGWD2, NAGOYA EXPRESS,77,47,75,76,1,46.9
DE  , A8EG9, NEDLLOYD VALENTINA,13,6,6,6,5,532.8
DE  , V7LZ8, NEPTUN,3,1,1,3,0,48.7
DE  , DBJM, NEUWERK,691,690,690,690,1,0.3
DE  , VSXC9, NEW ORLEANS EXPRESS,11,8,10,10,1,49.6
DE  , A8IT6, NILEDUTCH DURBAN,6,5,5,5,0,39.8
DE  , A8JK4, NILEDUTCH GUANGHOU,27,15,25,26,0,34.3
DE  , A8XA3, NILEDUTCH SHENZHEN,15,12,14,14,1,67.9
DE  , DGOS, NORFOLK EXPRESS,43,34,42,43,0,22.9
DE  , A8CB7, NORTHERN ENDEAVOUR,19,1,1,5,3,215.8
DE  , A8CB9, NORTHERN ENDURANCE,70,45,61,68,0,35.9
DE  , A8HA7, NORTHERN ENTERPRISE,6,0,0,2,2,462
DE  , D5BI4, NORTHERN RELIANCE,1,0,1,1,0,31
DE  , DCQR2, NORTHERN VIVACITY,23,9,18,23,0,45.5
DE  , DCSI2, NORTHERN VOLITION,7,5,6,6,1,231.4
DE  , DEGI, NOVIA,17,15,17,17,0,16
DE  , DDFD2, NYK GALAXY,1,1,1,1,0,30
DE  , V2FN, OCEAN,1,0,0,0,0,261
DE  , A8LG7, OLIVIA,14,0,10,14,0,70.6
DE  , DEGK, OLIVIA,36,28,35,36,0,14.1
DE  , V2KA9, OMEGAGAS,4,0,1,2,0,120
DE  , 9HA2545, ORION,13,0,13,13,0,43.3
DE  , DDVK2, OSAKA EXPRESS,17,13,16,16,0,22.8
DE  , A8MV6, PACIFIC FANTASY,21,5,19,20,0,41.4
DE  , DCSZ2, PACIFIC LINK,11,9,10,10,1,145.2
DE  , DBRE, PARADISE N,11,4,9,11,0,49.1
DE  , DIHE, PARIS EXPRESS,21,21,21,21,0,10.7
DE  , ZDKS7, PAZIFIK,8,7,8,8,0,16.2
DE  , A8CO2, PIRO,33,18,26,29,1,90.5
DE  , DBLK, POLARSTERN,186,123,123,146,3,55.6
DE  , ELZU7, POMMERN,1,1,1,1,0,30
DE  , A8UN3, PORTO,6,4,6,6,0,22.3
DE  , DQVO, PORTUGAL,6,6,6,6,0,8
DE  , DIOB, POS HONGKONG,31,23,30,30,0,39.2
DE  , DBKV, POSEIDON,558,557,557,557,1,0
DE  , A8NF2, POSEN,40,22,31,40,0,35.3
DE  , ELZU8, POTSDAM,22,0,16,22,0,70.1
DE  , ELYS6, POWHATAN,2,2,2,2,0,13
DE  , DGZR2, PRAGUE EXPRESS,3,3,3,3,0,10.7
DE  , ELYP7, PREMNITZ,26,21,26,26,0,13.9
DE  , A8KY7, PUELCHE,19,3,11,16,1,111.8
DE  , DQVG, PUSAN,21,19,21,21,0,10.3
DE  , A8TH7, RDO CONCERT,37,0,32,36,0,64.4
DE  , V7EG5, RICKMERS ANTWERP,2,1,2,2,0,42.5
DE  , V7FS3, RICKMERS DALIAN,97,38,60,63,25,259.5
DE  , V7FF2, RICKMERS NEW ORLEANS,6,3,5,6,0,35.7
DE  , V7EE5, RICKMERS SINGAPORE,13,10,12,13,0,20.8
DE  , V7DW6, RICKMERS TOKYO,7,5,7,7,0,25.9
DE  , D5BO9, RIO BLANCO,18,16,17,17,0,17
DE  , DDID2, RIO DE JANEIRO,22,15,21,22,0,22
DE  , DMQN, RIO DE LA PLATA,9,8,9,9,0,12.8
DE  , DGUG2, RIO MADEIRA,29,27,29,29,0,14.7
DE  , DFVY2, RIO NEGRO,22,3,5,8,8,242.5
DE  , A8JR4, RIO TAKU,50,47,50,50,0,13.2
DE  , DMRX, ROTTERDAM EXPRESS,69,65,68,69,0,13.4
DE  , A8CI8, SAAR N,63,38,46,46,17,228.8
DE  , DILS, SAMARIA,39,37,39,39,0,13.9
DE  , A8PC8, SAN ADRIANO,64,52,59,64,0,36.5
DE  , A8PG8, SAN ALESSIO,13,10,12,13,0,27.4
DE  , A8OK6, SAN AMERIGO,11,6,8,11,0,40.7
DE  , A8OK7, SAN ANDRES,19,13,14,19,0,39.4
DE  , A8PC7, SAN ANTONIO,7,5,7,7,0,23
DE  , A8PC9, SAN AURELIO,18,17,18,18,0,14.6
DE  , ELVB3, SAN CLEMENTE,29,14,25,29,0,42.2
DE  , ELVB6, SAN CRISTOBAL,26,14,24,24,1,88.3
DE  , DNEN, SAN FELIPE,31,27,30,30,0,24.3
DE  , DIGF, SAN FRANCISCO,26,15,26,26,0,24.1
DE  , ELVG8, SAN ISIDRO,1,0,1,1,0,52
DE  , ELVG2, SAN VICENTE,23,21,23,23,0,13.2
DE  , A8JZ4, SANTA BALBINA,10,7,10,10,0,31.5
DE  , ELVF4, SANTA BARBARA,43,26,41,42,0,38.7
DE  , A8JZ3, SANTA BELINA,23,7,19,23,0,51.6
DE  , A8NQ5, SANTA BETTINA,25,23,25,25,0,13.9
DE  , A8OK5, SANTA BIANCA,19,14,19,19,0,22.1
DE  , A8YJ9, SANTA CATARINA,26,3,6,12,7,256.2
DE  , DAJT, SANTA CLARA,17,11,16,17,0,25.1
DE  , A8YW2, SANTA CRUZ,39,37,38,38,1,24.3
DE  , A8IR6, SANTA ELENA 1,1,1,1,1,0,10
DE  , A8IQ2, SANTA FELICITA,28,21,27,28,0,22.9
DE  , DGSR, SANTA FRANCESCA,39,27,38,39,0,25.6
DE  , A8IP8, SANTA GIANNINA,86,51,76,84,0,31.5
DE  , A8IP9, SANTA GIORGINA,7,4,6,6,1,137.9
DE  , DGGH, SANTA GIOVANNA,13,12,12,13,0,14.3
DE  , ELYR2, SANTA GIULIANA,21,17,18,21,0,22
DE  , DGGE, SANTA GIULIETTA,16,15,16,16,0,13.9
DE  , ELVG7, SANTA MONICA,4,4,4,4,0,12
DE  , A8IY3, SANTA PAOLA,35,25,32,32,2,48.4
DE  , DCDO2, SANTA PELAGIA,60,46,60,60,0,21.2
DE  , DCDP2, SANTA PHILIPPA,15,15,15,15,0,13.6
DE  , DPRB, SANTA RAFAELA,12,5,5,12,0,44.6
DE  , DPGZ, SANTA REBECCA,15,13,15,15,0,15.8
DE  , DIOY2, SANTA RITA,32,22,29,30,1,44.8
DE  , A8RK9, SANTA ROMANA,16,0,10,16,0,75.8
DE  , A8ZS7, SANTA ROSA,19,0,1,6,4,236.9
DE  , A8RL2, SANTA ROSANNA,18,16,18,18,0,15.1
DE  , A8RL3, SANTA RUFINA,6,2,5,6,0,44.8
DE  , D5AH6, SANTA TERESA,26,23,26,26,0,18.4
DE  , 5BPA3, SARAH SCHULTE,52,33,49,50,0,28.9
DE  , DNDD, SAVANNAH EXPRESS,65,57,65,65,0,14.2
DE  , DGOQ, SCHARHOERN,43,20,30,36,2,96.7
DE  , A8UE4, SEATTLE EXPRESS,23,18,21,23,0,24.6
DE  , DBFC, SEEADLER,457,14,14,14,0,332.2
DE  , DBFI, SEEFALKE,416,11,11,11,0,333.7
DE  , DHBN, SEOUL EXPRESS,48,36,46,46,0,24.9
DE  , A8OO9, SEVILLIA,3,2,3,3,0,30.3
DE  , A8PF5, SICILIA,5,3,4,4,1,314.4
DE  , DGZT2, SOFIA EXPRESS,75,39,65,75,0,37.4
DE  , DBFH, SOLEA,554,553,553,553,1,3.1
DE  , DGBE, STUTTGART EXPRESS,36,32,36,36,0,17.5
DE  , A8AW2, SUAPE EXPRESS,1,1,1,1,0,21
DE  , A8IL9, TABEA,24,14,20,23,0,36.5
DE  , V7LZ7, TAURUS,34,0,24,34,0,54.7
DE  , A8BS7, TIGER SHARK,1,0,1,1,0,43
DE  , A8KI4, TIGER SKY,1,0,0,0,0,323
DE  , DGTX, TOKYO EXPRESS,69,50,68,69,0,19.8
DE  , A8XZ8, TRAVE TRADER,2,1,1,1,0,78.5
DE  , A8OP7, TS KOREA,8,5,8,8,0,31.9
DE  , DDYL2, TSINGTAO EXPRESS,52,35,43,48,0,36.9
DE  , A8RV8, UASC AJMAN,21,7,10,15,0,94.7
DE  , A8KN6, UASC DAMMAM,21,20,21,21,0,12.3
DE  , A8UL5, UASC JEDDAH,41,22,37,40,1,40.6
DE  , A8UL3, UASC RAMADI,6,5,5,6,0,19.8
DE  , DCPL2, UASC SHARJAH,40,36,39,39,1,30.8
DE  , A8UL4, UASC SHUAIBA,40,32,38,40,0,22.7
DE  , V7MA7, URANUS,44,22,41,44,0,33.1
DE  , A8SE8, VALPARAISO EXPRESS,22,22,22,22,0,12.7
DE  , A8UE5, VANCOUVER EXPRESS,38,35,37,37,1,56.9
DE  , DGWF2, VIENNA EXPRESS,8,4,7,8,0,36.6
DE  , A8UJ3, VIONA,30,20,23,28,0,29.4
DE  , DBFR, WALTHER HERWIG 3,406,406,406,406,0,0
DE  , DBBC, WEGA,611,610,610,610,1,3.6
DE  , V7DI2, WEHR ALTONA,1,1,1,1,0,21
DE  , V7DT6, WEHR BILLE,12,8,12,12,0,21.6
DE  , V7CY4, WEHR BLANKENESE,18,11,15,17,0,31.4
DE  , V7DY3, WEHR HAVEL,48,7,15,30,4,141.1
DE  , V7DG6, WEHR WESER,48,7,10,48,0,61.3
DE  , DFCX2, WELLINGTON EXPRESS,90,88,90,90,0,14.1
DE  , DBEB, WESER,621,621,621,621,0,0.3
DE  , A8JY5, WESTERDIEK,9,0,7,8,0,80.4
DE  , DFRZ, WESTERHAMM,8,5,8,8,0,27.1
DE  , A8CH2, WESTERMOOR,12,12,12,12,0,15.2
DE  , ELWZ5, WESTWOOD CASCADE,50,22,40,45,3,63.7
DE  , A8AJ4, WESTWOOD DISCOVERY,9,7,8,9,0,13.4
DE  , DANR, WESTWOOD PACIFIC,21,21,21,21,0,11.7
DE  , A8KH9, WIDUKIND,37,32,35,37,0,16.3
DE  , A8CG3, WILHELM E,13,0,11,13,0,62.7
DE  , DPTS, WOTAN,3,2,3,3,0,11
DE  , A8PB2, X-PRESS MAKALU,5,5,5,5,0,5
DE  , DPCK, YANTIAN EXPRESS,4,4,4,4,0,11.8
DE  , A8VN4, YM KWANG YANG,16,16,16,16,0,16.3
DE  , A8FU7, ZIM BEIJING,26,19,22,23,3,160.3
DE  , DFZB2, ZIM ONTARIO,19,13,16,18,1,94.3
DE  , A8ER9, ZIM SAVANNAH,45,38,44,45,0,15
FR  , ROSS, LA LOUISE,294,294,294,294,0,5.1
FR  , MNDC9, SAFMARINE MERU  (AWS),10,9,10,10,0,19.2
FR  , FLAO, VAGABOND (AWS),718,284,555,702,1,45.2
GB  , ZCDV2, Adonia,53,40,44,45,2,55.4
GB  , PJKV, Agulhas Stream,46,45,45,46,0,13.2
GB  , V7PU9, Al Ghuwairiya,82,65,81,82,0,14.4
GB  , HZGN, Al Mareekh,25,20,21,24,1,48.8
GB  , HZGH, Al Moshtaree,35,31,33,35,0,14.8
GB  , HZDD, Al Zohal 1,22,19,22,22,0,16
GB  , VQKZ6, Amazonas,43,23,33,39,3,192.4
GB  , S6JU, APL Iris,35,29,33,33,2,93.2
GB  , 9VVD, APL Jade,22,12,21,21,0,35.3
GB  , ZCDN2, Arcadia,54,38,48,51,0,30.9
GB  , ZCDW9, Aurora,43,28,33,34,3,73.8
GB  , ZCEE2, Azura,59,29,34,36,12,205.5
GB  , C6QF6, Barbet Arrow,7,3,4,6,1,192.7
GB  , OXVA2, Beaumont,83,46,81,82,1,42.3
GB  , PENR, Benguela Stream,163,153,162,162,0,15.9
GB  , OZCZ2, Bentonville,16,10,14,16,0,23.2
GB  , 3EDI6, Berge Arctic,71,45,71,71,0,22.1
GB  , LAIP5, Berge Atlantic,18,15,17,17,0,22.6
GB  , MCLJ8, British Beech,14,2,12,14,0,54.9
GB  , MGRH9, British Chivalry,32,19,29,32,0,31.1
GB  , MPMM5, British Commerce,28,23,27,28,0,18.7
GB  , MLJA8, British Confidence,7,1,4,4,0,90.9
GB  , MGRX2, British Cormorant,50,38,50,50,0,21.6
GB  , MRSA8, British Councillor,2,1,2,2,0,32.5
GB  , MNYF6, British Courage,27,14,19,24,0,47.6
GB  , MHNL6, British Courtesy,30,26,28,28,1,40.8
GB  , MCCW7, British Curlew,63,52,62,63,0,4.3
GB  , MGSG6, British Cygnet,50,27,45,50,0,28.6
GB  , 2AKI4, British Diamond,63,62,62,62,1,26.2
GB  , MGSM5, British Eagle,32,25,28,29,0,39.2
GB  , MIBR, British Emerald,1,1,1,1,0,22
GB  , MVQP8, British Emissary,39,37,38,39,0,16.4
GB  , MMER9, British Ensign,61,27,55,61,0,31.5
GB  , MNAN4, British Envoy,60,53,55,56,1,36.5
GB  , VQIV8, British Esteem,8,4,4,5,1,147
GB  , VQGB2, British Explorer,39,30,38,38,1,22.5
GB  , MGRL8, British Falcon,11,11,11,11,0,11
GB  , MGRX9, British Gannet,18,16,17,18,0,17.3
GB  , MHMZ8, British Harmony,52,45,50,51,0,19
GB  , VQFV3, British Hawthorn,25,15,19,25,0,33.7
GB  , MCUV3, British Hazel,63,15,48,63,0,44
GB  , MCZN2, British Holly,59,36,45,52,5,132.8
GB  , VQHO7, British Innovator,70,70,70,70,0,10.7
GB  , MGGF9, British Integrity,5,5,5,5,0,10
GB  , MGRL4, British Kestrel,25,16,23,24,1,45.4
GB  , VQAJ8, British Laurel,37,7,20,29,1,86.5
GB  , MFLM9, British Liberty,25,14,24,24,1,44.6
GB  , MGPU2, British Mallard,57,51,55,57,0,17.4
GB  , VQIB9, British Merchant,69,62,66,68,0,7.4
GB  , VQOG5, British Merlin,39,39,39,39,0,4.5
GB  , VQKR7, British Oak,116,71,108,116,0,25.4
GB  , MCCN6, British Osprey,37,37,37,37,0,11.9
GB  , ZQTP2, British Pride,58,44,58,58,0,20.5
GB  , MZDL7, British Progress,1,0,1,1,0,52
GB  , ZQCP3, British Purpose,3,2,3,3,0,23.7
GB  , MGSH7, British Robin,10,3,9,10,0,40.8
GB  , 2AKI2, British Ruby,18,13,16,18,0,27.4
GB  , 2AKI3, British Sapphire,3,0,2,3,0,73
GB  , MEPP3, British Security,24,21,23,24,0,17
GB  , MHNO6, British Serenity,4,3,4,4,0,5.5
GB  , VQNW6, British Swift,20,14,17,19,1,41.2
GB  , MDTE9, British Tenacity,52,11,44,52,0,53.9
GB  , ZIPR7, British Trader,36,31,33,33,1,38.1
GB  , MHNN5, British Tranquillity,37,17,28,37,0,35.3
GB  , MFLQ4, British Unity,53,31,46,52,0,37.7
GB  , MDGV9, British Vine,18,15,17,17,1,95.3
GB  , VQIC2, British Willow,13,13,13,13,0,11.7
GB  , OXVD2, Brownsville,83,49,71,76,2,50.7
GB  , ZCBO2, Buccleuch,4,0,0,3,0,128.8
GB  , S6OM, Cable Retriever,14,2,13,14,0,42.7
GB  , ZCBW2, Cape Carmel,35,32,34,34,0,19
GB  , ZCDG8, Caribbean Princess,85,67,77,81,3,47.8
GB  , C6KD7, Chiquita Belgie,83,69,82,83,0,18.3
GB  , C6VR4, Chiquita Bremen,68,65,67,68,0,14.5
GB  , C6KD8, Chiquita Deutschland,29,25,29,29,0,17.6
GB  , C6KD5, Chiquita Italia,43,40,42,43,0,18.3
GB  , C6KD6, Chiquita Nederland,7,7,7,7,0,12.3
GB  , C6VR5, Chiquita Rostock,20,18,20,20,0,16.4
GB  , C6KD4, Chiquita Scandinavia,31,30,31,31,0,11.1
GB  , C6KD9, Chiquita Schweiz,58,48,58,58,0,17.8
GB  , ZCDF4, Coral Princess,50,46,46,48,2,57.4
GB  , C6XQ2, Corella Arrow,32,23,27,29,0,42.1
GB  , C6IO9, Cormorant Arrow,12,9,11,12,0,19.3
GB  , ZCDM6, Crown Princess,41,35,37,39,2,52.8
GB  , VRBH6, CSAV Licanten,2,0,0,0,2,1544.5
GB  , VRBH4, CSCL Dalian,17,16,17,17,0,2.6
GB  , ZCBU2, Dawn Princess,40,33,38,39,1,33.5
GB  , ZCDF8, Diamond Princess,25,16,22,22,1,40.9
GB  , ZCDP8, Emerald Princess,78,51,64,71,1,47.4
GB  , C6OR4, Emu Arrow,80,71,78,79,0,0
GB  , ZDLS1, Ernest Shackleton,3,3,3,3,0,0
GB  , 2AAY7, FS Aquarius,19,15,15,15,0,53.1
GB  , ZCDA9, Golden Princess,33,16,20,30,2,107.7
GB  , ZCBU5, Grand Princess,89,79,86,87,0,0
GB  , ZQAY4, Grasmere Maersk,90,81,88,89,1,30.8
GB  , C6OM7, Grebe Arrow,38,30,36,36,1,30.8
GB  , C6JE2, Harefield,14,13,14,14,0,21.2
GB  , C6CU6, Ibis Arrow,71,63,69,70,0,23.4
GB  , ZCDG4, Island Princess,4,3,4,4,0,14.5
GB  , C6RM7, Jaeger Arrow,42,38,38,39,1,13.5
GB  , ZDLP, James Clark Ross,99,81,87,90,2,29.4
GB  , OYYK2, Jens Maersk,17,12,15,16,0,26.5
GB  , MQPF2, Jervis Bay,5,3,4,5,0,35
GB  , C6QF4, Kestrel Arrow,1,1,1,1,0,21
GB  , PHBO, Klipper Stream,42,35,39,40,0,29.1
GB  , E5U2135, Lapponian Reefer,34,32,32,33,1,24.6
GB  , OVSB2, Lars Maersk,33,23,26,31,0,27.8
GB  , OVZV2, Laust Maersk,47,39,44,46,0,22.3
GB  , OYYL2, Lexa Maersk,30,22,26,30,0,24.8
GB  , ZCBD3, Lisbon Express,21,11,18,20,0,39.3
GB  , ZCDM8, LNG Adamawa,44,21,41,43,1,33
GB  , ZCDL9, LNG Akwa Ibom,20,6,13,17,0,68.2
GB  , MYJG2, Loch Rannoch,3,3,3,3,0,14.3
GB  , OZDA2, Maersk Brooklyn,22,4,20,22,0,37.8
GB  , OXVE2, Maersk Buffalo,14,0,7,13,0,73.1
GB  , MQYA3, Maersk Dalton,8,7,8,8,0,19.2
GB  , MQEC7, Maersk Darlington,1,1,1,1,0,11
GB  , MRGU3, Maersk Dartford,38,35,38,38,0,14
GB  , MSTM6, Maersk Dauphin,9,8,9,9,0,10.9
GB  , MSDM7, Maersk Delano,24,15,24,24,0,33.8
GB  , MTFH5, Maersk Delmont,30,28,30,30,0,16.4
GB  , VQBW2, Maersk Gateshead,40,27,39,39,0,27.3
GB  , MYJU, Maersk Kelso,27,9,21,27,0,54.3
GB  , MTDU5, Maersk Kendal,16,14,16,16,0,17.2
GB  , VRGJ6, Maersk Kiel,66,50,62,64,0,26.7
GB  , ZNQO3, Maersk Kithira,51,24,44,50,0,30.2
GB  , VRGM8, Maersk Kyrenia,45,38,42,44,1,25.4
